,joblinks
54,https://in.linkedin.com/jobs/view/business-analyst-treasury-finance-at-dexian-3806421530?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=2NSj1PnB4D1J2NDjeZe8OA%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
55,https://in.linkedin.com/jobs/view/business-analyst-at-fusion-plus-solutions-inc-3793593964?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=Fvuu%2FBfUTqsd64d%2Bu7ObqA%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
56,https://in.linkedin.com/jobs/view/business-analyst-at-streetmark-info-solutions-3627618777?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=vMgHHTaerJqWf%2FBtnb2ESA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
57,https://in.linkedin.com/jobs/view/business-analyst-application-owner-at-zettamine-labs-pvt-ltd-3792626529?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=gZWJPZANcaFmVNnLDNZ%2BzA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
58,https://in.linkedin.com/jobs/view/business-analyst-i-field-medical-at-bristol-myers-squibb-3809879867?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=CHcQ38yeITys5w866xTf5Q%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
59,https://in.linkedin.com/jobs/view/major-markets-canada-analyst-ii-forecasting-analyst-t500-10253-at-bristol-myers-squibb-3807695698?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=Z4bbxWtLctb2Wy5Y4smusA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
60,https://in.linkedin.com/jobs/view/business-analyst-at-massmutual-india-3799074924?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=c8GCIIjhWrt3%2BPkx0cDJEQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
61,https://in.linkedin.com/jobs/view/business-analyst-at-frugal-testing-3739048428?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=SwkX%2BjkfCc62wNrjDDvp%2BA%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
62,https://in.linkedin.com/jobs/view/business-analyst-at-cipher-oncology-pvt-ltd-3673495192?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=gKmQMXie%2BvhW30Li9LfuJw%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
63,https://in.linkedin.com/jobs/view/business-analyst-at-mtx-group-3738204596?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=Q4Pkk6letIhE9wrE0bNYKA%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
64,https://in.linkedin.com/jobs/view/business-analyst-at-ideslabs-private-limited-3755215312?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=wGuYh0AgKM5gCWKIELoz%2FA%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
65,https://in.linkedin.com/jobs/view/business-analyst-at-head-digital-works-3744353861?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=%2FABv%2FPw6c1jc4ENsrD9I2Q%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
66,https://in.linkedin.com/jobs/view/business-analyst-at-fusion-plus-solutions-inc-3777373708?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=h4xcxBc5oNd6Ma9iLWRCoQ%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
67,https://in.linkedin.com/jobs/view/business-analysis-at-alp-consulting-ltd-3734128027?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=KoUHh0kOEA%2FbY52iB4CdBA%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
